,Ireland,Scotland,Japan,Russia,Samoa,,,New.Zealand,South.Africa,Italy,Namibia,Canada,,,England,France,Argentina,USA,Tonga,,,Australia,Wales,Georgia,Fiji,Uruguay,
        Fiji       ,2337,,,Italy,0.0348,0.00130352,,,Argentina,0.1945,0.019757296,,,Japan,0.2019,0.00809838,,,Georgia,0.0788,0.008157921, ,,,,,
        USA        ,2266,,,Namibia,0.0111,0.000100271,,,USA,0.2421,0.031892488,,,Russia,0.0214,0.00029994,,,Fiji,0.2327,0.045724645,,,,,,
       France      ,2316,,,Canada,0.0097,0,,,Tonga,0.1233,0.010630829,,,Samoa,0.0191,0.00039992,,,Uruguay,0.0145,0.000906436,,,,,,
       Japan       ,2235,,,,,1,,,,,0.999999999,,,,,0.99999999,,,,,1,,,,,,
     Argentina     ,2241,,,,,,,,,,,,,,,,,,,,,,,,,,
      Georgia      ,2187,,,,,,,,,,,,,,,,,,,,,,,,,,
       Tonga       ,2175,,,,,,,,,,,,,,,,,,,,,,,,,,
       Russia      ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
      Uruguay      ,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
       Samoa       ,2034,,,,,,,,,,,,,,,,,,,,,,,,,,
       Italy       ,2052,,,,,,,,,,,,,,,,,,,,,,,,,,
      Namibia      ,1933,,,,,,,,,,,,,,,,,,,,,,,,,,
      Romania      ,1953,,,,,,,,,,,,,,,,,,,,,,,,,,
       Canada      ,1891,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Out of group 1,Out of group 2,Out of group 3,Out of group 4,Out of group 5,Qualify,QF,SF,SFlose,3rd,Winner,,,SF1win,SF2win,SF1loss,SF2loss,,,,,,
,,,,New Zealand,0.9094,0.0882,0.0024,0,0,0.9976,0.869295957,0.722996313,0.146800839,0.13385662,0.655253716,,    New Zealand    ,0.048924462,0.67407185,0.009604802,0.137196037,,,,,,
,,,,Ireland,0.8664,0.1158,0.017,0.0007,0.0001,0.9822,0.758495426,0.586201447,0.172388355,0.121088435,0.192311635,,      Ireland      ,0.544472236,0.04172921,0.16158079,0.010807565,,,,,,
,,,,Wales,0.7447,0.1999,0.0456,0.0095,0.0003,0.9446,0.773844986,0.2865502,0.487560713,0.260491889,0.054433624,,       Wales       ,0.251925963,0.034624237,0.402901451,0.084659262,,,,,,
,,,,England,0.8364,0.1259,0.0279,0.0083,0.0015,0.9623,0.700082894,0.197133131,0.503143376,0.133751962,0.026037929,,      England      ,0.024312156,0.172820975,0.044122061,0.459021315,,,,,,
,,,,    South Africa   ,0.0895,0.8535,0.0476,0.0085,0.0009,0.943,0.236188677,0.102255551,0.13377273,0.035897436,0.009943619,,    South Africa   ,0.08014007,0.022115481,0.104552276,0.029220454,,,,,,
,,,,      Scotland     ,0.1082,0.642,0.2066,0.0356,0.0076,0.7502,0.121105466,0.044928048,0.076147761,0.068969126,0.037826756,,      Scotland     ,0.017008504,0.027919544,0.027713857,0.048433904,,,,,,
,,,,     Australia     ,0.1774,0.4706,0.2534,0.082,0.0166,0.648,0.28156373,0.041724965,0.239846643,0.163997907,0.020502307,,     Australia     ,0.021210605,0.02051436,0.106253127,0.133593516,,,,,,
,,,,        Fiji       ,0.0623,0.2327,0.4165,0.2102,0.0783,0.295,0.081628767,0.005903612,0.075646289,0.019047619,0.000820092,,        Fiji       ,0.002601301,0.003302312,0.033316658,0.042329631,,,,,,
,,,,        USA        ,0.0439,0.2421,0.2613,0.2391,0.2136,0.286,0.043575437,0.003401861,0.040022172,0.010151753,0.000205023,,        USA        ,0.002601301,0.00080056,0.029214607,0.010807565,,,,,,
,,,,       France      ,0.0611,0.3152,0.2732,0.206,0.1445,0.3763,0.064460538,0.004402321,0.060033399,0.010465725,0.000717581,,       France      ,0.003801901,0.00060042,0.043121561,0.016911838,,,,,,
,,,,       Japan       ,0.0247,0.2019,0.5519,0.1609,0.0606,0.2266,0.012510292,0.001500911,0.010906895,0.006698064,0.000615069,,       Japan       ,0.00070035,0.00080056,0.003701851,0.007205044,,,,,,
,,,,     Argentina     ,0.0331,0.1945,0.2446,0.2698,0.258,0.2276,0.027411642,0.002201181,0.025113998,0.020722135,0.001127627,,     Argentina     ,0.001800901,0.00040028,0.017908954,0.007205044,,,,,,
,,,,      Georgia      ,0.012,0.0788,0.2123,0.4541,0.2428,0.0908,0.012470427,0.00060036,0.011807465,0.005023548,0.000102512,,      Georgia      ,0.00030015,0.00030021,0.004002001,0.007805464,,,,,,
,,,,       Tonga       ,0.0184,0.1233,0.1885,0.2839,0.3859,0.1417,0.014055142,0.0002001,0.013807585,0.008058608,0.000102512,,       Tonga       ,0.0002001,0,0.010405203,0.003402382,,,,,,
,,,,       Russia      ,0.0009,0.0214,0.1164,0.4253,0.436,0.0223,0.000400211,0,0.00030019,0.000209315,0,,       Russia      ,0,0,0.00010005,0.00020014,,,,,,
,,,,      Uruguay      ,0.0007,0.0145,0.0737,0.2458,0.6653,0.0152,0.000906436,0,0.00090063,0.000837258,0,,      Uruguay      ,0,0,0,0.00090063,,,,,,
,,,,       Samoa       ,0.0008,0.0191,0.1015,0.3818,0.4968,0.0199,0.000500191,0,0.00040026,0.000104657,0,,       Samoa       ,0,0,0.00010005,0.00030021,,,,,,
,,,,       Italy       ,0.0016,0.0348,0.5225,0.2812,0.1599,0.0364,0.0014035,0,0.00130065,0.000627944,0,,       Italy       ,0,0,0.00130065,0,,,,,,
,,,,      Namibia      ,0.0002,0.0111,0.2471,0.3764,0.3652,0.0113,0.000100271,0,0.00010005,0,0,,      Namibia      ,0,0,0.00010005,0,,,,,,
,,,,       Canada      ,0.0001,0.0097,0.19,0.33,0.7532,0.0098,0,0,0,0,0,,       Canada      ,0,0,0,0,,,,,,
,,,, ,,,,,,,3.999999989,2,1.999999999,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
